;name;qid;measure;value
178;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));168216;map;0.8504716692409572
211;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));182539;map;0.8230906397266494
197;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));183378;map;0.5201002391251424
208;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));19335;map;0.2954479010367839
195;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));207786;map;0.5141232874041798
183;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));264014;map;0.5026741941322542
189;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));359349;map;0.4947058703143478
210;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));405717;map;0.3225376238188225
203;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));443396;map;0.055765707451833214
188;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));451602;map;0.150266005320646
209;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));47923;map;0.38022610647365707
176;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));489204;map;0.021594828217791278
200;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));490595;map;0.44101960961209724
180;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));527433;map;0.11526835852299001
177;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));573724;map;0.6116952172711816
194;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));833860;map;0.4545231553802042
206;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));855410;map;0.8875
202;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));87181;map;0.6742566495049133
205;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));87452;map;0.3569102584885199
182;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));915593;map;0.33875150763921985
185;Compose(BR(BM25), FUnion(BR(TF_IDF), BR(PL2)));962179;map;0.5905688194779344
224;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1037798;map;0.1293350496297434
236;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));104861;map;0.46400605963264624
217;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1063750;map;0.18220160536056304
244;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1103812;map;0.3265615983068262
241;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1106007;map;0.3150992809360286
216;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1110199;map;0.4418512906915838
234;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1112341;map;0.11222039179798114
255;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1113437;map;0.12623746462661686
250;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1114646;map;0.538257830997684
239;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1114819;map;0.583145839488186
233;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1115776;map;0.35168634096116685
229;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1117099;map;0.27168316800394365
227;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1121402;map;0.8212352050116142
247;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1121709;map;0.3369334136958508
242;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1124210;map;0.9100812515263934
256;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1129237;map;0.48701068349676235
222;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));1133167;map;0.7758890265883299
218;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));130510;map;0.8718171779207861
235;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));131843;map;0.33203608757511227
257;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));146187;map;0.6985385643743595
230;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));148538;map;0.21784947490660034
215;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));156493;map;0.8195161051402685
221;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));168216;map;0.8504716692409572
254;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));182539;map;0.8230906397266494
240;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));183378;map;0.5201002391251424
251;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));19335;map;0.2954479010367839
238;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));207786;map;0.5141232874041798
226;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));264014;map;0.5026741941322542
232;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));359349;map;0.4947058703143478
253;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));405717;map;0.3225376238188225
246;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));443396;map;0.055765707451833214
231;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));451602;map;0.150266005320646
252;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));47923;map;0.38022610647365707
219;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));489204;map;0.021594828217791278
243;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));490595;map;0.44101960961209724
223;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));527433;map;0.11526835852299001
220;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));573724;map;0.6116952172711816
237;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));833860;map;0.4545231553802042
249;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));855410;map;0.8875
245;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));87181;map;0.6742566495049133
248;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));87452;map;0.3569102584885199
225;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));915593;map;0.33875150763921985
228;Compose(BR(BM25), FUnion(BR(Tf), BR(PL2)));962179;map;0.5905688194779344
267;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1037798;map;0.1293350496297434
279;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));104861;map;0.46400605963264624
260;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1063750;map;0.18220160536056304
287;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1103812;map;0.3265615983068262
284;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1106007;map;0.3150992809360286
259;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1110199;map;0.4418512906915838
277;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1112341;map;0.11222039179798114
298;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1113437;map;0.12623746462661686
293;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1114646;map;0.538257830997684
282;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1114819;map;0.583145839488186
276;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1115776;map;0.35168634096116685
272;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1117099;map;0.27168316800394365
270;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1121402;map;0.8212352050116142
290;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1121709;map;0.3369334136958508
285;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1124210;map;0.9100812515263934
299;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1129237;map;0.48701068349676235
265;Compose(BR(BM25), FUnion(BR(Tf), FUnion(BR(PL2), BR(TF_IDF))));1133167;map;0.7758890265883299
